Run,Wilcox(H1),p(H1),Effect(H1),Chisq(H2),p(H2),Effect(H2),Wilcox(H3),p(H3),Effect(H3)
0,273832458.5,0.0,0.327451927841,390.878962547,5.32753849708e-87,-0.0697215963012,243985440.5,0.0,0.426843305689
1,275170825.0,0.0,0.326132533502,394.846214249,7.29234183818e-88,-0.0700742998689,244487813.5,0.0,0.426586566091
2,273341788.0,0.0,0.330044430012,414.755647957,3.38032465299e-92,-0.0718181860467,243611267.5,0.0,0.429590783238
3,274389066.0,0.0,0.32899072101,412.189626507,1.22321859649e-91,-0.0715957913406,244946387.0,0.0,0.427905654483
4,273312848.0,0.0,0.33022962926,394.099757769,1.0601488137e-87,-0.070008007096,244766445.5,0.0,0.42796544258
5,273132618.0,0.0,0.328239031128,380.088487561,1.19040877037e-84,-0.0687530801025,241292800.0,0.0,0.430857755818
6,270450841.0,0.0,0.331894826516,403.447123422,9.78469200133e-90,-0.0708329781455,242679393.0,0.0,0.428787885811
7,274618575.0,0.0,0.328953735564,412.058692963,1.30618469525e-91,-0.0715844152419,244625316.5,0.0,0.428703581495
8,272751649.5,0.0,0.329288482568,379.850162918,1.34147674447e-84,-0.0687315137233,242557926.5,0.0,0.429498181984
9,272728344.5,0.0,0.328015734224,411.523819142,1.70777897747e-91,-0.0715381000773,244318673.5,0.0,0.425305674998
10,272015603.0,0.0,0.328869938762,421.748399146,1.01598752614e-93,-0.0724208513495,241956991.5,0.0,0.428864087354
11,272823543.5,0.0,0.329854668415,368.873354014,3.29231101671e-82,-0.067731710748,243765751.5,0.0,0.428365565479
12,272947670.0,0.0,0.329223157704,396.719593082,2.85131545174e-88,-0.0702402380241,245286018.5,0.0,0.425485905265
13,273862657.0,0.0,0.329374495484,367.844259104,5.51530300146e-82,-0.0676371867952,244508176.5,0.0,0.42822866789
14,270262361.5,0.0,0.329735103845,415.744881108,2.05889559478e-92,-0.071903904488,240771910.5,0.0,0.429051160567
15,272677524.5,0.0,0.331100898812,425.81112841,1.32619032129e-94,-0.0727685154363,244842935.0,0.0,0.42787433293
16,273387091.0,0.0,0.329592669816,388.842985664,1.47829677333e-86,-0.0695398262741,242467288.0,0.0,0.430925948841
17,272127188.5,0.0,0.331175155924,441.511270247,5.07617791705e-98,-0.0740971810127,245552891.0,0.0,0.426034179128
18,272790948.0,0.0,0.328842953266,451.83549595,2.87516426335e-100,-0.0749580938639,243397965.5,0.0,0.427755086489
19,274036284.5,0.0,0.33014434072,412.711457971,9.41708291946e-92,-0.0716410449443,242133416.0,0.0,0.433024470308
20,272905907.0,0.0,0.331040542898,398.587238911,1.11808887109e-88,-0.0704052155276,245233444.0,0.0,0.427543187231
21,271418179.0,0.0,0.32912646852,403.135178285,1.14406928392e-89,-0.0708056619246,243305289.5,0.0,0.426161923843
22,273457444.0,0.0,0.328591797433,390.837241752,5.44012919439e-87,-0.0697178527991,243791572.5,0.0,0.427858973556
23,274569663.0,0.0,0.328578815592,380.246769981,1.09960216839e-84,-0.068767298611,245411001.5,0.0,0.426994428901
24,274418634.0,0.0,0.326521208279,422.873966771,5.77960857909e-94,-0.0725173378361,243663884.0,0.0,0.427177240915
25,271297243.5,0.0,0.330862456947,404.587941341,5.5234641401e-90,-0.0709329922134,242599697.0,0.0,0.429021501646
26,272607095.5,0.0,0.329063926299,383.746157364,1.90271744785e-85,-0.0690828994091,242407325.0,0.0,0.42926512254
27,273023013.0,0.0,0.328459233496,409.062486731,5.86407603845e-91,-0.0713239340326,243389622.5,0.0,0.427685509049
28,273553970.5,0.0,0.3274052838,395.760670218,4.61100518569e-88,-0.0701553851878,243161480.5,0.0,0.427654351014
29,271934722.0,0.0,0.329863712414,359.381127349,3.84009542497e-80,-0.0668551350101,241102756.0,0.0,0.431180186481
30,274599991.0,0.0,0.32809764587,378.88003913,2.18170113811e-84,-0.068643691728,244133581.5,0.0,0.42848052611
31,272643433.0,0.0,0.330192935924,446.73349484,3.70683439295e-99,-0.0745338764442,247209403.0,0.0,0.423136410247
32,270722330.0,0.0,0.32914404433,406.127138358,2.55363389466e-90,-0.0710678101826,242881923.0,0.0,0.425796326759
33,273469812.5,0.0,0.328967863055,417.783869935,7.40996549221e-93,-0.0720797755408,243806684.0,0.0,0.428274672604
34,273158426.0,0.0,0.328253764742,405.496389567,3.50315908639e-90,-0.0710125416979,243128706.0,0.0,0.428062984762
35,273559468.5,0.0,0.327299362243,447.999732272,1.96531114729e-99,-0.0746394391432,245172186.0,0.0,0.424421988806
36,273460763.5,0.0,0.328464584456,421.671274505,1.05602768948e-93,-0.0724141740067,243882817.0,0.0,0.427580085478
37,272387529.0,0.0,0.330093442969,433.608698279,2.66356140455e-96,-0.0734314529842,243145371.5,0.0,0.428943603441
38,272723360.0,0.0,0.329571637051,407.523961743,1.2679447846e-90,-0.0711897289158,244313517.5,0.0,0.427049386388
39,273524484.5,0.0,0.328207529051,393.897518561,1.17325771953e-87,-0.0699901194986,242535112.0,0.0,0.429478694014
40,272870604.0,0.0,0.329816376429,408.929672008,6.26772766642e-91,-0.0713123163861,245615738.0,0.0,0.4255246782
41,275295773.5,0.0,0.328735392737,394.909974409,7.06296068484e-88,-0.0700798476092,246896386.0,0.0,0.425953743134
42,274489951.0,0.0,0.327139870219,396.899102303,2.60595907611e-88,-0.0702561192137,244860043.5,0.0,0.426119157363
43,273099365.0,0.0,0.329878506856,367.898773273,5.36660670954e-82,-0.0676422152841,242498471.0,0.0,0.430768260574
44,273667102.5,0.0,0.329488448937,394.223603378,9.96336896767e-88,-0.0700190101727,243083723.5,0.0,0.430271413192
45,273333817.0,0.0,0.327526954667,395.169009055,6.20292392373e-88,-0.0701029617908,244150557.0,0.0,0.42592561941
46,272736881.0,0.0,0.327955010944,408.12689032,9.37252461861e-91,-0.0712424034051,243797289.5,0.0,0.42606037084
47,274929756.0,0.0,0.326823299016,388.499851839,1.75575099859e-86,-0.0695091823102,243955158.5,0.0,0.427824917587
48,273209837.0,0.0,0.329363764317,400.531668626,4.21888091192e-89,-0.0705766852462,246022091.5,0.0,0.424894647486
49,274333532.0,0.0,0.328746766394,413.628955439,5.9457200049e-92,-0.071720626456,244901568.0,0.0,0.427619241535
50,274884299.0,0.0,0.329234501309,414.830011474,3.25665561897e-92,-0.0718245724696,245880081.0,0.0,0.427471659076
51,273089923.0,0.0,0.330380202005,402.576400561,1.51387174026e-89,-0.0707564672269,243836926.0,0.0,0.429241194059
52,272832607.0,0.0,0.33094300859,429.270141761,2.34283625129e-95,-0.0730633123463,246019444.0,0.0,0.426106804501
53,272415697.5,0.0,0.329221254242,407.550943943,1.25091247686e-90,-0.0711921137083,243428927.5,0.0,0.427569470975
54,271464480.5,0.0,0.330098763496,409.534074621,4.6296333485e-91,-0.0713650286703,243278930.0,0.0,0.427361821344
55,272725946.0,0.0,0.330547754506,418.094606528,6.34132346812e-93,-0.0721065381906,242582001.0,0.0,0.430830177832
56,275248938.0,0.0,0.326052872765,387.325952999,3.16246409133e-86,-0.0694041627798,244470827.5,0.0,0.426640419012
57,272548241.0,0.0,0.329167109007,364.711550864,2.65262314339e-81,-0.067348808343,240565910.0,0.0,0.432150531112
58,274272818.0,0.0,0.328925568484,398.892433931,9.59486099686e-89,-0.0704321603952,244940571.0,0.0,0.427668348642
59,273985714.5,0.0,0.328524764904,404.668592213,5.30463313723e-90,-0.0709400093455,244758496.0,0.0,0.427073387239
60,272291839.0,0.0,0.329951436399,391.34420281,4.21933450763e-87,-0.0697630352821,243585914.0,0.0,0.42795825459
61,274620040.0,0.0,0.32789933306,406.770682202,1.84957828924e-90,-0.0711239085469,245155793.5,0.0,0.426704520934
62,271862173.0,0.0,0.330525051838,400.579211241,4.11953192052e-89,-0.0705808960195,244974973.0,0.0,0.425803289825
63,273068886.0,0.0,0.328373364113,415.847132649,1.95603912705e-92,-0.0719126484204,244097064.0,0.0,0.426559921064
64,271738708.5,0.0,0.330738904207,369.274370584,2.69269109572e-82,-0.0677685172223,245388377.5,0.0,0.425217012123
65,272694879.5,0.0,0.329683226636,398.596999381,1.11263207242e-88,-0.0704061403266,242928558.5,0.0,0.429279877975
66,273597902.0,0.0,0.328747903247,388.350106544,1.89261810637e-86,-0.0694957872348,244393928.0,0.0,0.427309234122
67,273377134.5,0.0,0.331338768499,406.595957933,2.01886115575e-90,-0.071108571726,244489584.5,0.0,0.429732312352
68,272418455.0,0.0,0.330076678776,415.261590897,2.6231965507e-92,-0.0718619981032,244961591.0,0.0,0.426154164838
69,272465020.0,0.0,0.329032437126,406.588191941,2.02673488668e-90,-0.0711080290266,244537721.0,0.0,0.425710570045
70,272538223.5,0.0,0.331603671529,418.641139163,4.82191470599e-93,-0.0721535937925,245663110.0,0.0,0.426959934542
71,273340349.0,0.0,0.32685202932,392.626560484,2.21858831053e-87,-0.0698772404393,242744663.0,0.0,0.427364598253
72,272765624.5,0.0,0.330152334335,436.039112946,7.87946376266e-97,-0.073636824083,244927228.0,0.0,0.42681182518
73,273039202.5,0.0,0.328535977343,391.619099234,3.67620098408e-87,-0.0697875349972,242547962.0,0.0,0.429101794226
74,271531481.0,0.0,0.330279547463,390.824608067,5.47469043691e-87,-0.069716760852,242885448.0,0.0,0.428275549297
75,274010379.0,0.0,0.329812905433,390.362113325,6.9031108093e-87,-0.0696754123587,244600360.5,0.0,0.428796861253
76,272821468.0,0.0,0.328630060162,411.675920382,1.58242610954e-91,-0.0715512831087,244714014.5,0.0,0.425519608508
77,272526873.0,0.0,0.331130828016,388.748950075,1.54964939461e-86,-0.0695314070503,245873869.0,0.0,0.426085570711
78,270823191.0,0.0,0.330439423786,445.15721876,8.16678888669e-99,-0.0744024225511,243010509.5,0.0,0.427199847724
79,272859440.5,0.0,0.328382486625,404.691488248,5.24410425724e-90,-0.0709420786284,244350390.0,0.0,0.425863544249
80,270603686.0,0.0,0.329105105349,396.389907043,3.36368495881e-88,-0.0702111891821,241796035.0,0.0,0.427264192616
