Run,Wilcox(H1),p(H1),Effect(H1),Chisq(H2),p(H2),Effect(H2),Wilcox(H3),p(H3),Effect(H3)
0,295578386.0,0.0,0.349501688743,772.644987434,4.7825831404e-170,-0.098006374234,282485096.0,0.0,0.425538003853
1,296900382.5,0.0,0.348983091707,782.63102343,3.22434093004e-172,-0.0986373890327,283637036.0,0.0,0.425166533614
2,296210532.5,0.0,0.349120331412,770.223708571,1.60737182698e-169,-0.0978527360505,282734675.0,0.0,0.425653865308
3,294170245.5,0.0,0.350596529333,813.283680141,6.98199300855e-179,-0.100549770746,281126731.5,0.0,0.426748833246
4,296213127.0,0.0,0.348033368463,786.45057986,4.76409381562e-173,-0.0988777607482,281712454.0,0.0,0.425929308496
5,295839934.5,0.0,0.348722096211,793.944266048,1.11864661953e-174,-0.0993475285307,282609877.0,0.0,0.424842588715
6,294340550.0,0.0,0.351037185626,815.596613793,2.19339614262e-179,-0.100692569369,282295897.0,0.0,0.425769691175
7,295662738.5,0.0,0.349775955227,775.638560863,1.06851044825e-170,-0.0981959619498,282555787.5,0.0,0.4258702369
8,295898873.5,0.0,0.349199294945,768.964202323,3.01973700674e-169,-0.0977727397841,283049636.0,0.0,0.424823258288
9,296487923.5,0.0,0.348682009366,796.000564852,3.99588542728e-175,-0.0994760209759,281849807.5,0.0,0.426867161917
10,298285458.0,0.0,0.346943657554,767.322391229,6.86984273521e-169,-0.0976683209726,282260471.0,0.0,0.42688898485
11,296163582.5,0.0,0.349264961874,785.302092582,8.46618369634e-173,-0.0988055238709,281759067.0,0.0,0.42719538645
12,296275620.0,0.0,0.348230316079,789.458557501,1.05676738325e-173,-0.099066587259,282061259.0,0.0,0.425728527446
13,295368851.5,0.0,0.348854864875,810.744714413,2.48877775223e-178,-0.10039276499,282246270.5,0.0,0.424845860619
14,296168741.5,0.0,0.348940229059,806.524544747,2.05832902427e-177,-0.100131199545,282916517.5,0.0,0.425117583167
15,296266840.5,0.0,0.349281762145,788.544683891,1.66984213035e-173,-0.0990092169684,282124878.5,0.0,0.426823355547
16,296821790.0,0.0,0.349379289027,757.117079464,1.13737040306e-166,-0.0970168976019,281885727.0,0.0,0.428096194136
17,295934049.5,0.0,0.349726902851,793.279243645,1.56056621907e-174,-0.0993058887189,282769937.0,0.0,0.425892639712
18,296961748.5,0.0,0.348904950174,750.763798631,2.73731239749e-165,-0.0966091601159,281172869.0,0.0,0.428812846067
19,297567408.0,0.0,0.349317281587,767.718503134,5.63404627855e-169,-0.0976934656939,282154330.5,0.0,0.42871152363
20,294204203.0,0.0,0.350935346034,832.888763739,3.81618674587e-183,-0.10175400262,281834002.0,0.0,0.42613818649
21,298075941.0,0.0,0.34788855206,757.128887199,1.13066650815e-166,-0.0970176500871,282742429.0,0.0,0.426949656319
22,296464635.0,0.0,0.349453328564,791.067907839,4.7214164877e-174,-0.09916742038,282645447.0,0.0,0.426537043006
23,297060795.0,0.0,0.349666463354,764.993397157,2.20465081204e-168,-0.0975200040234,283110666.5,0.0,0.426960340908
24,294973480.5,0.0,0.350569528993,785.28448572,8.54113969905e-173,-0.0988044241657,283347691.0,0.0,0.424600461179
25,295782067.0,0.0,0.349475466844,762.601026497,7.303228385e-168,-0.097367522267,281912799.5,0.0,0.426652640123
26,294442713.5,0.0,0.351605617005,793.527096814,1.3784591628e-174,-0.0993213957893,282973986.5,0.0,0.42556632307
27,295501042.0,0.0,0.350257354615,762.644448711,7.14617317322e-168,-0.0973702781584,281924176.5,0.0,0.42712047786
28,293659998.0,0.0,0.352539377559,824.510736789,2.5297938516e-181,-0.101241102092,282219839.0,0.0,0.426610094259
29,295259484.0,0.0,0.351072560186,767.840770841,5.29951131485e-169,-0.0977012833788,282307933.0,0.0,0.427133252923
30,294884539.0,0.0,0.349876713383,784.722453615,1.13165649842e-172,-0.0987691029563,281201210.0,0.0,0.426857200681
31,295435003.5,0.0,0.350574240858,790.803471662,5.38972138595e-174,-0.0991508575267,281386022.5,0.0,0.428183258674
32,295553142.5,0.0,0.34902404134,795.93969134,4.11953415386e-175,-0.0994722487837,281519156.0,0.0,0.426386010338
33,296858078.0,0.0,0.349185067576,787.108239595,3.42760096119e-173,-0.0989190086834,283401849.0,0.0,0.425683988683
34,295435256.0,0.0,0.349769005132,766.752033874,9.14027727244e-169,-0.0976320583546,282139038.0,0.0,0.426147723523
35,294999242.0,0.0,0.349836656629,808.50293606,7.64507739018e-178,-0.100253907604,282459499.0,0.0,0.425114087052
36,295929091.5,0.0,0.349182002324,771.179474005,9.96106857419e-170,-0.0979134159244,281850939.0,0.0,0.426622975701
37,296589983.5,0.0,0.349906762131,777.734999785,3.74074599059e-171,-0.0983284780899,282364165.0,0.0,0.42765403371
38,297393021.5,0.0,0.347719729371,780.099363897,1.14521128081e-171,-0.098477808979,282328052.5,0.0,0.426377177659
39,295124047.5,0.0,0.351646033842,771.810739514,7.26191474548e-170,-0.0979534154398,281562426.5,0.0,0.428695111749
40,298483350.0,0.0,0.347814208945,772.838823369,4.3402751319e-170,-0.098018591132,282419018.5,0.0,0.42793475914
41,295755775.0,0.0,0.349233109601,808.020709251,9.73252086449e-178,-0.100224004083,282736090.5,0.0,0.425117608583
42,296268544.0,0.0,0.348961569387,745.580749967,3.66698729279e-164,-0.0962752662511,281535014.0,0.0,0.427333321284
43,298660704.5,0.0,0.34748281458,763.021148725,5.91789446298e-168,-0.0973942690053,282117703.5,0.0,0.428259755294
44,296332845.0,0.0,0.349557678266,809.347427677,5.00929633338e-178,-0.100306181527,282979359.5,0.0,0.425970271098
45,297077323.0,0.0,0.349729820889,777.531000784,4.14298021015e-171,-0.0983155710039,280877826.5,0.0,0.43035793376
46,297223976.5,0.0,0.349205478635,767.905844604,5.129639928e-169,-0.0977053993074,282171683.0,0.0,0.42805934995
47,296728020.0,0.0,0.348248668454,773.89664868,2.5557428733e-170,-0.0980856866522,282107655.5,0.0,0.426339802174
48,294613714.0,0.0,0.350498071274,790.217301556,7.22790021978e-174,-0.0991141579561,281331180.5,0.0,0.426980355533
49,295867324.5,0.0,0.350763230252,800.850633382,3.52466817753e-176,-0.0997784524151,282511772.0,0.0,0.42736328959
50,294680543.5,0.0,0.349072736912,787.128534913,3.39295108528e-173,-0.0989203857048,280594361.5,0.0,0.426540125997
51,297065783.0,0.0,0.349871031963,773.602322119,2.96150007204e-170,-0.0980669680094,282004460.0,0.0,0.428836767681
52,297643175.0,0.0,0.347952497849,783.614632487,1.97052031559e-172,-0.0986993316893,284121882.0,0.0,0.424352144081
53,296817972.5,0.0,0.347772753142,785.496536394,7.68088258657e-173,-0.0988177738645,281545501.5,0.0,0.426759935198
54,296526746.0,0.0,0.348696190265,753.349502129,7.50069256293e-166,-0.0967753426186,280880868.5,0.0,0.428374640995
55,295348013.0,0.0,0.348881450021,785.68492915,6.98956610618e-173,-0.0988296457681,281688784.5,0.0,0.425672347939
56,296775951.0,0.0,0.34808137983,783.779496983,1.81441021105e-172,-0.0987097441628,282854608.5,0.0,0.425112124235
57,296834377.0,0.0,0.348664740476,819.947975141,2.48358101444e-180,-0.100960686432,283320110.0,0.0,0.425175169071
58,296640687.5,0.0,0.350074419619,781.215413993,6.54981100337e-172,-0.0985481503058,282959032.5,0.0,0.427039778225
59,296266765.0,0.0,0.349175892356,769.990115946,1.80678319385e-169,-0.0978378980108,283462889.5,0.0,0.424721223717
60,297095182.5,0.0,0.348311316128,785.07349756,9.49269494704e-173,-0.0987911395259,282753023.5,0.0,0.425990381431
61,297369290.5,0.0,0.34830128047,737.229788433,2.39958983279e-162,-0.0957347699818,282320654.0,0.0,0.427017687177
62,296220179.0,0.0,0.349468304581,789.550187183,1.00938565725e-173,-0.099072292702,283595791.0,0.0,0.424791338538
63,294620859.0,0.0,0.349234203856,811.219254968,1.96252045929e-178,-0.100422150326,282617324.0,0.0,0.423636953117
64,295289703.5,0.0,0.349126087885,815.052801764,2.87971055821e-179,-0.100659032443,283348878.5,0.0,0.423406321575
65,296156780.0,0.0,0.348573195949,802.226626741,1.76991832563e-176,-0.0998641644418,282574944.0,0.0,0.425186204239
66,294865853.5,0.0,0.349794293699,773.575393028,3.0016970951e-170,-0.0980653635794,280938766.5,0.0,0.42712465899
67,296725983.5,0.0,0.349797017744,799.358439591,7.43957241868e-176,-0.099685484291,282111979.0,0.0,0.428099402224
68,297016858.5,0.0,0.348877107015,762.457507203,7.84730376882e-168,-0.0973583289303,281513997.0,0.0,0.428356381316
69,295814552.5,0.0,0.349264324442,794.231174811,9.68976418766e-175,-0.0993654524835,281797432.0,0.0,0.42662944102
70,295671944.5,0.0,0.34923380748,797.967070645,1.49299123897e-175,-0.099598791168,281667719.0,0.0,0.426578870338
71,296686585.5,0.0,0.348598590295,770.477733889,1.41541578573e-169,-0.0978688615543,281769970.5,0.0,0.427179242572
72,296533536.0,0.0,0.347326354646,783.693804423,1.89394370836e-172,-0.0987043876996,282876536.0,0.0,0.423862707511
73,293877305.5,0.0,0.349714351217,811.701168704,1.54184000674e-178,-0.100451979395,280784693.5,0.0,0.425818620622
74,295824195.5,0.0,0.350268906543,797.305919091,2.07875849664e-175,-0.0995574942889,281359227.5,0.0,0.428440451963
75,295998246.5,0.0,0.349008951077,788.246619237,1.93856880651e-173,-0.0989905319117,282812184.0,0.0,0.425102083799
76,294221352.0,0.0,0.351739607727,815.374584455,2.45125849204e-179,-0.100678848504,281749131.0,0.0,0.427210097833
77,295146046.5,0.0,0.351090245596,796.552830842,3.03067776314e-175,-0.0995104850271,281448637.0,0.0,0.428259806693
78,296311416.0,0.0,0.349076603408,774.17058061,2.22821423385e-170,-0.0981030271335,281779800.0,0.0,0.427164688874
79,296222138.5,0.0,0.349994744387,784.626657468,1.18725206524e-172,-0.098763011983,281483245.0,0.0,0.428522632376
80,296353454.5,0.0,0.349425595085,763.404699749,4.88395131799e-168,-0.0974187699939,282372493.0,0.0,0.426747387441
81,296315601.0,0.0,0.348243140852,794.952972258,6.75118678056e-175,-0.0994105896949,282473480.0,0.0,0.425190655778
82,296299956.0,0.0,0.349514903286,792.800323196,1.98339522508e-174,-0.0992759103995,282096417.5,0.0,0.42718019675
83,299278830.0,0.0,0.346420954845,767.397943661,6.61484190094e-169,-0.0976731011309,283447104.5,0.0,0.425979828492
84,295386489.0,0.0,0.35065718166,779.391406213,1.63235016734e-171,-0.0984331176626,282240909.5,0.0,0.426942140837
85,295647491.0,0.0,0.348499384791,777.006944482,5.38587501974e-171,-0.0982825540404,280888342.0,0.0,0.426859024512
86,296798367.5,0.0,0.348116535825,811.81668825,1.45520350926e-178,-0.100459048957,280800470.0,0.0,0.428227310486
87,297047825.5,0.0,0.348668301741,782.867517627,2.86431945758e-172,-0.0986522895424,281831515.5,0.0,0.427693183117
88,297933605.0,0.0,0.347985084284,756.87591726,1.2833308271e-166,-0.0970014505873,283860357.5,0.0,0.425199246673
89,297983898.5,0.0,0.347963390293,777.225393609,4.82791662557e-171,-0.0982962769772,283132267.5,0.0,0.426324666639
90,296653539.5,0.0,0.348513404692,790.513971212,6.23031275747e-174,-0.0991327322135,282136939.5,0.0,0.426490460686
91,296320677.0,0.0,0.351639180742,809.994998288,3.62230742171e-178,-0.100346213225,282976668.0,0.0,0.428338183183
92,297383545.5,0.0,0.346881424246,765.240955138,1.9476602611e-168,-0.0975358593544,282503395.0,0.0,0.425146329966
93,296146902.5,0.0,0.348734514858,768.212904854,4.39868646498e-169,-0.0977249892276,282062902.0,0.0,0.42611483935
94,295721576.0,0.0,0.350990940291,807.881260912,1.04362278408e-177,-0.100215298132,281651673.5,0.0,0.428683710728
95,297700103.0,0.0,0.34862067602,762.767604246,6.71886136057e-168,-0.0973780955329,281219325.0,0.0,0.429491871853
96,296931883.0,0.0,0.348073798598,776.618213758,6.54299309102e-171,-0.0982579328441,282116738.0,0.0,0.426423377872
97,296065423.5,0.0,0.349262824778,788.024924298,2.16612039792e-173,-0.0989766038362,282257467.0,0.0,0.426311985386
98,296524057.0,0.0,0.348529842144,771.189448091,9.91145202675e-170,-0.0979140451008,281978372.0,0.0,0.426555528293
99,295849080.0,0.0,0.349347635403,775.374474441,1.21954594817e-170,-0.0981792572329,281758003.5,0.0,0.426833389938
